600036 招商银行 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002-04-09	3.08	3.18	3.08	3.12	414108800	4418821632.000
2002-04-10	3.12	3.13	3.05	3.11	67945400	716684288.000
2002-04-11	3.11	3.13	3.08	3.09	22788200	240963536.000
2002-04-12	3.08	3.12	3.08	3.10	21256400	224059904.000
2002-04-15	3.10	3.11	3.04	3.05	18531100	193306928.000
2002-04-16	3.04	3.05	2.99	2.99	24925400	254942368.000
2002-04-17	2.99	3.02	2.98	3.01	11459300	116550896.000
2002-04-18	3.00	3.00	2.98	2.98	8533200	86436776.000
2002-04-19	2.98	2.99	2.95	2.99	15722200	157784096.000
2002-04-22	2.98	2.98	2.95	2.96	6593800	66105564.000
2002-04-23	2.95	2.98	2.93	2.95	7376500	73759696.000
2002-04-24	2.95	2.95	2.88	2.89	17241300	169554784.000
2002-04-25	2.89	2.91	2.89	2.90	9960200	97420592.000
2002-04-26	2.91	2.92	2.90	2.91	8169200	80382992.000
2002-04-29	2.91	2.92	2.88	2.91	9036000	88537528.000
2002-04-30	2.92	2.99	2.90	2.96	18262500	182699168.000
2002-05-08	2.95	2.96	2.92	2.93	4228300	41990480.000
2002-05-09	2.92	2.97	2.92	2.94	4470300	44552492.000
2002-05-10	2.93	2.93	2.90	2.90	4638400	45667176.000
2002-05-13	2.90	2.90	2.85	2.86	12725400	122595408.000
2002-05-14	2.85	2.86	2.81	2.82	8239900	78665000.000
2002-05-15	2.81	2.84	2.77	2.77	9708300	91212160.000
2002-05-16	2.77	2.77	2.71	2.74	19517100	178313616.000
2002-05-17	2.74	2.77	2.71	2.76	10010100	91833344.000
2002-05-20	2.73	2.74	2.68	2.69	11297000	101667312.000
2002-05-21	2.74	2.76	2.70	2.74	12608300	115523920.000
2002-05-22	2.75	2.75	2.67	2.68	7338300	66043320.000
2002-05-23	2.68	2.73	2.68	2.69	7188900	64749340.000
2002-05-24	2.69	2.71	2.64	2.66	10526000	92941496.000
2002-05-27	2.67	2.68	2.64	2.67	5439400	48160844.000
2002-05-28	2.67	2.69	2.67	2.68	5607600	50176392.000
2002-05-29	2.68	2.68	2.60	2.61	7480100	65398180.000
2002-05-30	2.61	2.64	2.57	2.63	13179800	113645568.000
2002-05-31	2.63	2.66	2.61	2.62	4669100	40944136.000
2002-06-04	2.60	2.70	2.58	2.66	21315700	188202672.000
2002-06-05	2.75	2.75	2.63	2.63	9149400	80995384.000
2002-06-06	2.63	2.72	2.61	2.70	12530900	112008800.000
2002-06-07	2.70	2.71	2.67	2.69	11760600	105772504.000
2002-06-10	2.69	2.71	2.68	2.69	4910100	44206176.000
2002-06-11	2.69	2.70	2.68	2.68	2848100	25522714.000
2002-06-12	2.70	2.70	2.65	2.66	3036700	26911352.000
2002-06-13	2.66	2.66	2.63	2.64	2861400	25179530.000
2002-06-14	2.63	2.63	2.61	2.61	2939500	25580232.000
2002-06-17	2.61	2.61	2.59	2.61	3036700	26183428.000
2002-06-18	2.61	2.66	2.61	2.65	5317500	46624768.000
2002-06-19	2.65	2.65	2.61	2.61	2774500	24170100.000
2002-06-20	2.61	2.65	2.61	2.63	4108300	36035752.000
2002-06-21	2.63	2.72	2.63	2.69	14947300	133912680.000
2002-06-24	2.92	2.92	2.83	2.92	95065000	934303744.000
2002-06-25	2.95	3.17	2.90	3.07	149514900	1563269888.000
2002-06-26	3.04	3.11	2.99	3.01	41963600	436232320.000
2002-06-27	3.01	3.11	3.00	3.08	41442700	431029632.000
2002-06-28	3.08	3.35	3.08	3.35	156015300	1785124992.000
2002-07-01	3.39	3.42	3.31	3.36	90583600	1050421248.000
2002-07-02	3.35	3.35	3.25	3.32	37955200	431511872.000
2002-07-03	3.31	3.38	3.29	3.33	25683700	295008704.000
2002-07-04	3.34	3.36	3.19	3.24	41951600	469443680.000
2002-07-05	3.21	3.30	3.19	3.29	33747200	375133056.000
2002-07-08	3.26	3.39	3.26	3.30	41931500	482217376.000
2002-07-09	3.30	3.39	3.30	3.37	53912800	625233344.000
2002-07-10	3.37	3.44	3.28	3.29	103668500	1203566208.000
2002-07-11	3.26	3.31	3.25	3.26	31305300	352569984.000
2002-07-12	3.26	3.27	3.20	3.22	32493600	359020960.000
2002-07-15	3.21	3.22	3.14	3.17	23448300	254515312.000
2002-07-16	3.18	3.22	3.15	3.17	18594600	203553088.000
2002-07-17	3.18	3.22	3.15	3.22	8479900	92305408.000
2002-07-18	3.23	3.26	3.20	3.23	20092000	223753104.000
2002-07-19	3.25	3.26	3.21	3.24	9684100	107533032.000
2002-07-22	3.25	3.25	3.12	3.13	21510500	233006976.000
2002-07-23	3.12	3.22	3.11	3.15	18666700	202301216.000
2002-07-24	3.14	3.19	3.13	3.15	8015800	86608488.000
2002-07-25	3.14	3.17	3.10	3.12	10470600	111641664.000
2002-07-26	3.13	3.14	3.11	3.11	7678800	81922992.000
2002-07-29	3.11	3.13	3.08	3.13	8736800	92498904.000
2002-07-30	3.14	3.25	3.13	3.20	33096900	361697376.000
2002-07-31	3.18	3.22	3.12	3.13	14637900	159111280.000
2002-08-01	3.13	3.16	3.10	3.14	6501000	69443720.000
2002-08-02	3.15	3.16	3.12	3.14	3755500	40261576.000
2002-08-05	3.14	3.14	3.08	3.09	5849500	61924220.000
