999999 上证指数 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000-01-04	1368.69	1407.51	1361.21	1406.37	9044290	5801982976.000
2000-01-05	1407.82	1433.78	1398.32	1409.68	10597824	8653877248.000
2000-01-06	1406.03	1463.95	1400.25	1463.94	13519870	10240156672.000
2000-01-07	1477.15	1522.82	1477.15	1516.60	34600184	22011312128.000
2000-01-10	1531.71	1546.72	1506.40	1545.11	31344148	20933781504.000
2000-01-11	1547.67	1547.70	1468.75	1479.78	21964456	17013285888.000
2000-01-12	1473.76	1489.28	1434.99	1438.02	15248482	13361499136.000
2000-01-13	1437.45	1444.06	1418.81	1424.44	8625944	7798362112.000
2000-01-14	1426.22	1433.47	1401.70	1408.84	7496903	6561376256.000
2000-01-17	1408.98	1433.38	1402.66	1433.33	7817975	6617061888.000
2000-01-18	1436.88	1443.59	1421.64	1426.62	7919170	7325733888.000
2000-01-19	1425.87	1443.67	1425.14	1440.72	8062128	6848543232.000
2000-01-20	1443.09	1466.90	1443.09	1466.86	10210153	9281801216.000
2000-01-21	1471.90	1476.45	1458.92	1465.08	15215153	14370685952.000
2000-01-24	1465.85	1477.41	1449.47	1477.34	16314918	15358004224.000
2000-01-25	1483.03	1490.46	1467.43	1476.50	13755612	13499785216.000
2000-01-26	1477.29	1482.46	1469.98	1481.11	10504760	9995972608.000
2000-01-27	1490.44	1506.92	1485.23	1506.76	19071114	16949698560.000
2000-01-28	1514.55	1536.34	1510.74	1534.99	29450867	22551924736.000
2000-02-14	1591.44	1674.13	1587.81	1673.94	43645603	26587693056.000
2000-02-15	1709.22	1746.44	1663.00	1670.67	52609049	38936428544.000
2000-02-16	1674.93	1695.88	1649.69	1693.10	37505374	36014215168.000
2000-02-17	1734.26	1770.88	1615.62	1640.64	51469905	49915342848.000
2000-02-18	1623.96	1668.16	1583.58	1668.09	26813271	26994974720.000
2000-02-21	1681.36	1697.01	1652.47	1677.13	31115033	33853583360.000
2000-02-22	1681.29	1687.51	1627.46	1632.29	24350054	27089012736.000
2000-02-23	1618.00	1630.54	1586.63	1594.93	19271226	19423526912.000
2000-02-24	1593.94	1634.32	1593.92	1634.30	14011418	15276429312.000
2000-02-25	1639.91	1650.36	1618.17	1631.57	17118013	19156084736.000
2000-02-28	1639.79	1704.88	1639.69	1704.85	26167362	25838348288.000
2000-02-29	1728.13	1733.14	1678.35	1714.57	28762816	33290985472.000
2000-03-01	1720.59	1721.14	1692.50	1697.74	22564661	24731873280.000
2000-03-02	1697.56	1721.59	1682.53	1713.01	19874091	21303654400.000
2000-03-03	1728.35	1750.64	1721.70	1738.02	24914624	26835191808.000
2000-03-06	1756.31	1762.82	1678.74	1681.08	26582763	27777589248.000
2000-03-07	1661.94	1694.88	1654.44	1694.79	17756907	17265334272.000
2000-03-08	1699.46	1726.04	1690.11	1726.03	19857844	18291357696.000
2000-03-09	1734.76	1741.22	1714.92	1732.34	18013538	19302283264.000
2000-03-10	1731.94	1743.13	1701.79	1705.04	15985134	17008734208.000
2000-03-13	1706.76	1729.00	1706.34	1728.87	19879550	14368643072.000
2000-03-14	1690.65	1700.37	1636.89	1685.34	22928494	19947956224.000
2000-03-15	1680.29	1695.16	1676.54	1681.47	16817441	16440624128.000
2000-03-16	1671.09	1671.17	1596.07	1607.52	19861822	14851682304.000
2000-03-17	1602.36	1661.97	1602.33	1658.60	15382209	14616182784.000
2000-03-20	1646.31	1699.28	1641.76	1699.24	18199568	17933135872.000
2000-03-21	1704.08	1713.20	1692.68	1710.32	16424512	17999073280.000
2000-03-22	1713.24	1726.59	1711.15	1720.44	14694759	17278982144.000
2000-03-23	1724.18	1747.28	1711.40	1747.24	16766899	17920417792.000
2000-03-24	1761.44	1770.26	1729.48	1730.49	22089579	23302735872.000
2000-03-27	1736.69	1776.02	1736.69	1775.91	19949514	20745175040.000
2000-03-28	1788.82	1799.95	1774.48	1791.44	24506204	23135037440.000
2000-03-29	1797.88	1803.82	1763.62	1788.80	23100313	20261404672.000
2000-03-30	1793.67	1811.06	1790.84	1810.98	29391191	20113987584.000
2000-03-31	1810.55	1810.89	1780.41	1800.22	23446156	19758200832.000
2000-04-03	1799.57	1816.86	1798.25	1801.00	18877290	18759364608.000
2000-04-04	1795.16	1795.16	1755.98	1760.69	17136669	15716966400.000
2000-04-05	1756.30	1776.71	1746.30	1771.19	13615066	12817551360.000
2000-04-06	1775.78	1809.16	1775.67	1809.14	15012890	14992772096.000
2000-04-07	1816.78	1822.61	1807.54	1819.89	16088039	16103823360.000
2000-04-10	1826.61	1831.85	1815.99	1826.06	16815719	16612875264.000
2000-04-11	1826.40	1828.05	1812.00	1821.17	14254196	14740375552.000
2000-04-12	1822.39	1823.83	1785.32	1807.32	13655183	13173496832.000
2000-04-13	1807.83	1832.08	1807.71	1831.54	16558799	15358807040.000
2000-04-14	1835.86	1840.18	1820.67	1833.66	17911953	17221300224.000
2000-04-17	1829.61	1829.92	1778.87	1795.05	19850897	18758735872.000
2000-04-18	1794.33	1813.57	1779.29	1813.49	13221098	12988831744.000
2000-04-19	1819.08	1831.57	1817.21	1828.71	12799133	13632509952.000
2000-04-20	1831.65	1847.51	1831.48	1847.02	16560825	17025549312.000
2000-04-21	1851.30	1858.26	1834.84	1841.06	16256448	17534904320.000
2000-04-24	1844.69	1848.97	1827.16	1837.39	16178268	16094707712.000
2000-04-25	1838.05	1841.86	1815.63	1833.46	10783906	11334902784.000
2000-04-26	1835.66	1842.88	1826.39	1832.77	10173935	10828036096.000
2000-04-27	1835.60	1840.57	1803.57	1806.83	12339285	12600682496.000
2000-04-28	1805.50	1836.32	1797.71	1836.32	10980143	11704187904.000
2000-05-08	1848.17	1852.90	1828.09	1836.63	8967010	9644720128.000
2000-05-09	1838.99	1839.28	1799.82	1806.63	9134938	9701272576.000
2000-05-10	1801.42	1801.64	1750.01	1752.68	9462746	8819263488.000
2000-05-11	1750.85	1762.12	1718.89	1724.04	8442942	8387869184.000
2000-05-12	1725.86	1740.95	1715.05	1720.60	7408684	7345909248.000
2000-05-15	1722.63	1726.72	1695.53	1704.58	7101224	6869446144.000
2000-05-16	1706.72	1725.90	1706.72	1724.53	5342259	5462886912.000
2000-05-17	1727.42	1736.27	1722.71	1725.39	5269118	5512705024.000
2000-05-18	1725.60	1758.54	1719.84	1758.53	8362398	8150310912.000
2000-05-19	1761.79	1777.98	1754.88	1777.82	9560524	10387329024.000
2000-05-22	1785.89	1830.92	1783.30	1824.73	14728508	15629007872.000
2000-05-23	1834.43	1836.99	1811.57	1832.07	12480706	12812110848.000
2000-05-24	1835.56	1861.48	1831.84	1855.49	15879331	16665108480.000
2000-05-25	1866.56	1880.71	1860.77	1880.70	16815655	18653267968.000
2000-05-26	1885.75	1890.68	1860.91	1879.61	20708712	19021660160.000
2000-05-29	1885.54	1900.67	1882.74	1898.74	18066882	19224526848.000
2000-05-30	1903.53	1908.30	1868.61	1877.47	16566748	17230716928.000
2000-05-31	1875.46	1894.58	1869.33	1894.55	15813671	16578029568.000
2000-06-01	1900.53	1906.81	1889.99	1903.48	14676789	15647624192.000
2000-06-02	1906.16	1916.25	1897.71	1916.25	17852167	17803620352.000
2000-06-05	1921.96	1930.33	1889.81	1899.09	29259320	22623721472.000
2000-06-06	1898.59	1925.55	1891.66	1925.54	17222635	16644793344.000
2000-06-07	1934.37	1940.22	1921.38	1935.03	15605297	16143315968.000
2000-06-08	1937.19	1938.55	1913.36	1925.20	16382650	15658987520.000
2000-06-09	1926.15	1929.94	1896.06	1900.78	15004190	14696767488.000
2000-06-12	1896.42	1912.58	1884.61	1912.55	12064371	12718045184.000
2000-06-13	1918.19	1938.67	1917.19	1938.67	14443010	14196476928.000
2000-06-14	1944.44	1949.17	1929.70	1932.29	16173320	16251880448.000
2000-06-15	1933.05	1942.32	1925.91	1942.28	14310931	14431131648.000
2000-06-16	1945.69	1947.46	1919.40	1926.94	15089056	15055353856.000
2000-06-19	1924.69	1926.98	1910.46	1915.20	12184016	12302381056.000
2000-06-20	1913.07	1913.07	1888.08	1895.34	10395531	10003860480.000
2000-06-21	1894.77	1913.14	1894.63	1913.13	8360026	8946693120.000
2000-06-22	1918.16	1921.14	1906.30	1913.90	9098351	9819936768.000
2000-06-23	1915.30	1939.63	1913.65	1939.62	12007681	13035303936.000
2000-06-26	1946.69	1953.33	1943.24	1948.63	14076976	14377539584.000
2000-06-27	1949.77	1952.45	1938.13	1942.89	11988234	11840541696.000
2000-06-28	1943.98	1953.06	1940.05	1947.48	11250772	12304785408.000
2000-06-29	1949.84	1951.12	1924.47	1937.26	11932661	12524118016.000
2000-06-30	1937.84	1941.40	1924.96	1928.10	12487160	12926509056.000
2000-07-03	1917.44	1917.44	1890.52	1895.63	15792124	12650057728.000
2000-07-04	1891.20	1907.94	1888.24	1907.93	14444331	9441681408.000
2000-07-05	1910.42	1918.90	1904.46	1909.18	13046785	8823173120.000
2000-07-06	1909.23	1910.05	1896.65	1902.55	9944768	9194287104.000
2000-07-07	1904.08	1932.82	1904.08	1932.79	11695005	11070598144.000
2000-07-10	1938.84	1948.06	1932.95	1948.02	14532382	14361193472.000
2000-07-11	1952.25	1960.59	1947.66	1960.54	14459863	14693987328.000
2000-07-12	1965.23	1974.41	1960.34	1973.37	13941935	15149607936.000
2000-07-13	1978.55	1984.06	1963.55	1979.20	18182904	19722131456.000
2000-07-14	1981.77	1987.22	1972.62	1987.19	16215860	16740460544.000
2000-07-17	1992.89	1997.93	1980.22	1982.47	15876757	15940243456.000
2000-07-18	1982.49	1993.99	1981.73	1993.98	17580019	12105298944.000
2000-07-19	2000.33	2004.46	1987.42	1998.42	29161024	14967434240.000
2000-07-20	1999.08	2003.80	1979.87	1991.56	17396852	13946677248.000
2000-07-21	1994.42	1998.34	1991.83	1996.33	11750944	11205272576.000
2000-07-24	1998.24	1999.90	1982.88	1989.23	11914178	11700431872.000
2000-07-25	1990.14	1997.84	1989.08	1996.57	11303713	11351113728.000
2000-07-26	1999.44	2012.39	1999.40	2012.31	15200317	12332350464.000
2000-07-27	2017.45	2024.99	2004.54	2012.35	17430557	15302284288.000
2000-07-28	2014.11	2016.94	2006.17	2012.79	14974699	13811913728.000
2000-07-31	2016.14	2023.56	2008.63	2023.53	17216090	15902047232.000
2000-08-01	2027.01	2031.92	2023.45	2028.15	21189153	12751382528.000
2000-08-02	2030.78	2033.19	2018.48	2030.68	23999892	12952511488.000
2000-08-03	2032.93	2038.65	2030.10	2036.30	18375342	14070912000.000
2000-08-04	2037.46	2041.28	2013.45	2026.36	19626448	15525688320.000
2000-08-07	2025.18	2039.41	2017.90	2039.41	13755358	13572080640.000
2000-08-08	2042.74	2050.07	2040.78	2049.91	13785265	13870193664.000
2000-08-09	2051.65	2061.28	2048.49	2061.18	16374167	16303272960.000
2000-08-10	2065.30	2067.74	2053.86	2065.94	17379584	18485405696.000
