999999 上证指数 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009-07-01	2950.17	3009.71	2947.69	3008.15	150140442	156104835072.000
2009-07-02	3015.08	3062.56	3015.08	3060.25	174747706	183504420864.000
2009-07-03	3035.81	3088.86	3029.55	3088.37	174495889	180366131200.000
2009-07-06	3091.48	3128.31	3090.10	3124.67	199131584	206765555712.000
2009-07-07	3118.27	3130.07	3077.48	3089.45	194615508	191155372032.000
2009-07-08	3057.46	3097.96	3011.21	3080.77	177484845	175032877056.000
2009-07-09	3073.52	3123.51	3064.21	3123.03	181390271	187210629120.000
2009-07-10	3124.79	3140.04	3099.99	3113.93	174289453	180566245376.000
2009-07-13	3098.96	3112.88	3076.30	3080.56	167169420	174729494528.000
2009-07-14	3088.58	3147.59	3088.58	3145.16	177534307	181164490752.000
2009-07-15	3156.63	3188.91	3156.63	3188.55	206725619	219623587840.000
2009-07-16	3209.77	3221.07	3175.96	3183.74	205167905	221217079296.000
2009-07-17	3181.06	3197.23	3158.57	3189.74	176252792	188687892480.000
2009-07-20	3203.89	3269.18	3192.90	3266.92	211984020	236527304704.000
2009-07-21	3275.67	3279.59	3207.50	3213.21	215195905	235796234240.000
2009-07-22	3207.99	3301.43	3207.26	3296.61	187782491	209399922688.000
2009-07-23	3301.10	3331.06	3289.22	3328.49	181509538	198042451968.000
2009-07-24	3343.76	3398.05	3306.91	3372.60	208990330	227211132928.000
2009-07-27	3377.72	3435.93	3376.29	3435.21	212417288	243420495872.000
2009-07-28	3434.32	3439.92	3392.43	3438.37	218790299	246796976128.000
2009-07-29	3419.99	3454.02	3174.21	3266.43	303175371	302820589568.000
2009-07-30	3281.20	3336.64	3215.75	3321.56	228951290	226591752192.000
2009-07-31	3354.68	3414.15	3333.72	3412.06	212759397	228121247744.000
2009-08-03	3429.69	3465.17	3398.45	3462.59	218302354	240142925824.000
2009-08-04	3477.11	3478.01	3404.82	3471.44	230009108	255343591424.000
2009-08-05	3467.05	3468.10	3385.42	3428.50	223497078	245403320320.000
2009-08-06	3401.48	3419.74	3309.61	3356.33	196388107	221496000512.000
2009-08-07	3352.66	3374.46	3244.10	3260.69	175290609	189646880768.000
2009-08-10	3287.76	3307.89	3201.06	3249.76	146781023	157350690816.000
2009-08-11	3261.41	3273.02	3222.71	3264.73	119804319	126058643456.000
2009-08-12	3255.99	3255.99	3104.56	3112.72	160388037	162700525568.000
2009-08-13	3112.57	3150.36	3060.12	3140.56	141992895	143513976832.000
2009-08-14	3138.15	3146.00	3039.30	3046.97	148469284	150832480256.000
2009-08-17	2994.87	3020.26	2867.39	2870.63	156815115	143692333056.000
2009-08-18	2845.33	2920.64	2827.11	2910.88	134994685	123230461952.000
2009-08-19	2916.09	2929.06	2761.40	2785.58	140576796	127217909760.000
2009-08-20	2798.37	2914.64	2798.37	2911.58	134285688	126680375296.000
2009-08-21	2905.05	2969.52	2883.27	2960.77	154424035	143164162048.000
2009-08-24	2982.19	3004.90	2944.92	2993.43	137241151	141593133056.000
2009-08-25	2980.10	2980.10	2823.64	2915.80	169038785	165212930048.000
2009-08-26	2889.74	2995.80	2872.26	2967.59	148017497	147103907840.000
2009-08-27	2947.83	2988.03	2909.89	2946.40	157879301	149627813888.000
2009-08-28	2938.42	2949.43	2843.11	2860.69	142735579	137472753664.000
2009-08-31	2817.63	2817.63	2663.00	2667.75	139685050	128345219072.000
2009-09-01	2649.17	2727.08	2639.76	2683.72	119251440	105567608832.000
2009-09-02	2681.33	2729.71	2669.22	2714.97	102232434	91385880576.000
2009-09-03	2722.30	2854.16	2715.62	2845.02	150218174	142565130240.000
2009-09-04	2841.17	2875.98	2827.58	2861.61	147887352	145854660608.000
2009-09-07	2877.62	2919.35	2860.00	2881.12	150735188	150286876672.000
2009-09-08	2865.70	2931.23	2831.85	2930.48	148083061	152212160512.000
2009-09-09	2944.17	2962.29	2900.11	2946.26	148905654	156579758080.000
2009-09-10	2934.96	2958.95	2911.21	2924.88	117502192	119176585216.000
2009-09-11	2917.19	2999.33	2915.90	2989.79	141734122	141400768512.000
2009-09-14	2990.93	3033.08	2984.83	3026.74	159188293	160014417920.000
