002142 宁波银行 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007-07-19	19.13	22.20	18.24	20.88	197364082	4119470080.000
2007-07-20	20.15	23.09	20.05	23.09	94848251	2154974976.000
2007-07-23	23.54	25.20	23.29	24.06	99483316	2546044160.000
2007-07-24	24.06	25.70	23.56	24.73	53914975	1397098880.000
2007-07-25	24.62	27.33	24.35	27.33	54381047	1465465728.000
2007-07-26	27.22	29.14	26.55	27.45	66923819	1949880960.000
2007-07-27	26.81	27.75	26.58	27.50	34176568	969020480.000
2007-07-30	27.25	28.05	26.75	27.20	29776338	851815808.000
2007-07-31	26.77	27.63	25.98	26.86	32196922	899301568.000
2007-08-01	26.85	28.05	25.75	26.96	32989740	939223232.000
2007-08-02	27.07	29.78	27.07	29.35	55242555	1634024320.000
2007-08-03	29.45	30.91	28.67	30.20	43584823	1344531072.000
2007-08-06	29.75	29.93	28.75	29.32	33719079	1027897664.000
2007-08-07	29.15	29.15	28.20	28.52	26969323	804214208.000
2007-08-08	27.95	29.25	27.65	28.23	24031820	715001408.000
2007-08-09	28.40	28.87	27.65	27.95	19584505	573925312.000
2007-08-10	27.95	28.19	25.75	26.75	26727965	751465280.000
2007-08-13	26.15	27.65	25.25	26.35	25120900	694515648.000
2007-08-14	26.08	27.04	26.00	26.80	14533013	404321888.000
2007-08-15	26.83	27.53	26.53	27.08	14339228	406956480.000
2007-08-16	26.75	26.77	25.63	25.82	20067036	546321984.000
2007-08-17	25.55	26.22	24.95	25.05	15279318	408251776.000
2007-08-20	25.86	26.75	25.55	26.35	13978262	384159520.000
2007-08-21	26.69	26.75	25.67	25.89	16169742	440535744.000
2007-08-22	25.55	27.25	25.35	26.92	27590614	757379648.000
2007-08-23	26.92	26.92	26.14	26.35	13385890	371133632.000
2007-08-24	26.35	27.22	26.25	26.63	20185434	566965696.000
2007-08-27	26.65	28.22	26.65	27.31	25650814	738330432.000
2007-08-28	27.25	27.25	26.05	26.37	15334033	423907360.000
2007-08-29	26.05	26.07	25.33	25.48	14384808	386185152.000
2007-08-30	25.60	26.14	25.30	25.79	10167951	273101984.000
2007-08-31	25.79	25.85	25.31	25.65	8412957	225178544.000
2007-09-03	25.63	25.95	25.55	25.61	11353859	305769664.000
2007-09-04	25.60	25.60	24.95	25.10	14384864	379367648.000
2007-09-05	25.25	25.89	25.09	25.72	9523634	255276720.000
2007-09-06	25.92	26.23	25.46	25.75	13141339	356256352.000
2007-09-07	25.53	26.50	25.00	25.38	16408332	442928928.000
2007-09-10	24.75	25.55	24.43	25.04	13338787	346415392.000
2007-09-11	25.15	25.16	23.10	23.16	14324493	363900096.000
2007-09-12	23.09	23.74	22.51	23.00	9675864	233795488.000
2007-09-13	23.31	23.73	23.00	23.30	9352619	229491584.000
2007-09-14	23.38	23.55	22.45	23.06	11170343	269826688.000
2007-09-17	23.26	23.65	23.16	23.55	9330313	230667088.000
2007-09-18	23.63	23.90	22.75	23.90	10429279	254953312.000
2007-09-19	24.00	24.16	22.76	22.81	9539498	233554192.000
2007-09-20	23.00	23.49	22.75	23.01	7287210	176501952.000
2007-09-21	22.75	22.80	21.33	21.84	13657851	315340480.000
2007-09-24	21.83	21.83	20.53	20.95	11393738	253640800.000
2007-09-25	21.03	21.58	20.78	21.27	8936434	200316336.000
2007-09-26	21.35	21.65	20.96	21.26	5100759	115329016.000
2007-09-27	21.25	21.74	21.05	21.58	6618702	149650624.000
2007-09-28	21.76	21.77	21.43	21.65	7576198	173245040.000
2007-10-08	21.81	22.75	21.56	22.19	13676587	321810528.000
2007-10-09	22.20	22.34	21.78	21.89	8172225	189674624.000
2007-10-10	21.95	22.75	21.85	21.95	9769546	230398240.000
2007-10-11	22.09	22.13	21.03	21.51	11754392	265862992.000
2007-10-12	21.52	21.85	19.75	20.89	12553661	277204448.000
2007-10-15	21.10	21.50	20.36	20.82	8066931	178864368.000
2007-10-16	20.77	23.03	20.65	23.03	26170122	612371072.000
2007-10-17	23.03	23.13	21.79	21.98	20213023	477883104.000
2007-10-18	21.98	22.05	21.00	21.17	8078256	183120240.000
2007-10-19	20.55	21.03	19.63	19.87	49651485	1054472960.000
2007-10-22	19.83	19.83	18.55	18.74	23920483	483678176.000
2007-10-23	18.95	19.52	18.57	19.40	21486399	434923616.000
2007-10-24	19.35	19.75	19.11	19.35	19595121	405954848.000
2007-10-25	19.36	19.65	17.75	18.15	22977029	458441344.000
2007-10-26	18.05	18.73	17.75	18.30	12143054	236252272.000
2007-10-29	18.72	19.35	18.06	18.65	12684596	254496624.000
