399001 深证成指 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000-01-04	3374.11	3512.29	3360.20	3497.06	7344508	5236590080.000
2000-01-05	3500.13	3589.17	3468.68	3486.28	9373897	7411259904.000
2000-01-06	3475.46	3663.21	3454.34	3655.19	11240481	9095856128.000
2000-01-07	3701.47	3848.06	3701.47	3829.89	29881894	19039113216.000
2000-01-10	3881.74	3929.06	3832.19	3921.48	26987105	18555478016.000
2000-01-11	3924.71	3931.07	3691.56	3716.78	17572518	13558956032.000
2000-01-12	3699.29	3768.14	3585.46	3605.82	11408331	9870341120.000
2000-01-13	3604.27	3637.68	3552.05	3580.98	7460482	5948812800.000
2000-01-14	3582.16	3609.19	3524.50	3542.82	6150499	5135400960.000
2000-01-17	3535.50	3597.77	3496.00	3594.64	6185308	5459877888.000
2000-01-18	3601.88	3633.10	3558.86	3571.97	7308894	6783902208.000
2000-01-19	3560.58	3640.08	3559.93	3603.85	7346087	6871964160.000
2000-01-20	3608.16	3670.19	3603.98	3668.84	9766501	10455608320.000
2000-01-21	3687.19	3744.27	3644.08	3702.08	13849866	13778822144.000
2000-01-24	3709.19	3736.43	3646.16	3734.72	14635165	15079510016.000
2000-01-25	3752.52	3803.77	3702.65	3726.05	12463115	12960544768.000
2000-01-26	3718.12	3754.10	3700.66	3737.98	9642435	9664614400.000
2000-01-27	3782.89	3855.34	3754.10	3844.96	16079228	15288338432.000
2000-01-28	3889.13	3952.40	3869.41	3952.40	24523840	18975940608.000
2000-02-14	4102.64	4323.35	4096.45	4322.37	41660198	23096238080.000
2000-02-15	4442.12	4578.61	4343.58	4394.69	44014597	34518736896.000
2000-02-16	4425.84	4475.01	4329.13	4457.41	32521907	32146857984.000
2000-02-17	4564.58	4685.48	4256.26	4313.97	43656023	42624880640.000
2000-02-18	4274.09	4360.42	4095.66	4356.60	25284759	26050805760.000
2000-02-21	4389.42	4437.85	4275.29	4344.48	27742684	27985367040.000
2000-02-22	4341.84	4395.90	4174.95	4186.69	21417149	22597289984.000
2000-02-23	4134.87	4164.69	4039.87	4072.46	18561418	18682662912.000
2000-02-24	4056.89	4222.65	4056.89	4221.84	14781034	16069564416.000
2000-02-25	4254.67	4296.54	4189.37	4262.81	16214137	18250317824.000
2000-02-28	4274.66	4506.05	4244.72	4481.73	22639434	23493572608.000
2000-02-29	4523.94	4562.37	4369.48	4484.16	24106488	24289054720.000
2000-03-01	4468.97	4510.38	4398.85	4427.20	20486213	21419952128.000
2000-03-02	4409.14	4505.64	4375.88	4443.52	19235321	19612600320.000
2000-03-03	4462.37	4581.61	4462.34	4490.04	24624806	23232063488.000
2000-03-06	4519.99	4552.26	4311.89	4316.11	27195100	23550042112.000
2000-03-07	4278.05	4401.65	4261.97	4399.95	18532668	15397231616.000
2000-03-08	4411.97	4515.68	4373.83	4498.21	19691461	15869277184.000
2000-03-09	4528.85	4606.71	4474.33	4548.68	17909363	18838405120.000
2000-03-10	4559.53	4587.45	4450.31	4463.65	16636919	15986802688.000
2000-03-13	4462.31	4520.79	4451.52	4495.92	21704563	15664086016.000
2000-03-14	4377.18	4417.80	4239.93	4371.55	23897484	19352418304.000
2000-03-15	4365.55	4415.47	4326.88	4333.89	17949268	15058230272.000
2000-03-16	4304.60	4304.60	4100.77	4131.54	19436412	14716707840.000
2000-03-17	4114.41	4327.97	4114.27	4315.00	15446762	14009321472.000
2000-03-20	4252.17	4370.67	4231.78	4367.73	18287662	17108129792.000
2000-03-21	4362.09	4406.86	4350.31	4387.27	17948825	18396278784.000
2000-03-22	4394.23	4479.90	4384.68	4437.14	17612101	17949556736.000
2000-03-23	4446.44	4492.90	4381.96	4492.43	19416514	19532912640.000
2000-03-24	4515.38	4580.68	4455.64	4459.40	24286389	23768000512.000
2000-03-27	4461.67	4574.22	4461.67	4571.88	23733578	22861344768.000
2000-03-28	4615.47	4635.66	4546.37	4591.12	27039198	24594542592.000
2000-03-29	4612.88	4629.55	4510.64	4559.86	22084185	20333989888.000
2000-03-30	4566.42	4584.77	4539.32	4580.82	27642119	19503828992.000
2000-03-31	4578.60	4578.60	4488.04	4532.31	22513141	19790528512.000
2000-04-03	4523.90	4551.07	4506.40	4508.48	21198396	18002550784.000
2000-04-04	4515.01	4515.01	4403.31	4413.74	17895751	15292701696.000
2000-04-05	4398.44	4444.69	4381.85	4442.21	14864773	12878099456.000
2000-04-06	4444.99	4528.80	4436.17	4527.66	16595500	15910259712.000
2000-04-07	4553.34	4569.18	4513.13	4556.89	19916742	19252908032.000
2000-04-10	4556.81	4589.93	4522.69	4546.44	19308245	18382813184.000
2000-04-11	4556.96	4619.40	4511.93	4595.07	16763470	17385426944.000
2000-04-12	4609.20	4616.77	4499.35	4538.65	14118839	14312566784.000
2000-04-13	4537.46	4615.47	4528.58	4601.47	16087518	16328866816.000
2000-04-14	4624.45	4645.88	4585.60	4619.18	18287736	17353994240.000
